2024-12-05 12:35:25.567; TRACE; INFO; http://localhost:8000/admin/slow; GET; 76d2d450-b13d-4a79-ba02-056cd31c16cf; user-2cfa0ef1; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:09:47.761; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60038; ;  
2024-12-07 17:10:04.802; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; b67267fe-8dc9-48ee-9ad2-0a7e0d9afde3; user-2cf50698; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:10:47.917; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:11:47.998; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60081; ;  
2024-12-07 17:12:48.069; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:13:48.133; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60064; ;  
2024-12-07 17:14:48.200; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:15:48.287; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60087; ;  
2024-12-07 17:16:48.367; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:17:48.414; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60047; ;  
2024-12-07 17:18:48.459; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:19:48.512; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60053; ;  
2024-12-07 17:20:12.197; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:20:12.261; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 64; ;  
2024-12-07 17:20:12.324; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:20:12.382; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 58; ;  
2024-12-07 17:20:35.486; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 9e9ca1d6-39c4-4606-9dd2-d49519c613a5; user-5612369c; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:21:28.920; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:21:30.256; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 1339; ;  
2024-12-07 17:21:48.796; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 1769adea-dbec-4137-9bb6-832551113741; user-63f9649c; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:21:56.926; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 4ef63161-4ac4-4fae-8771-380ce3a7fc11; user-a36a53d5; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:22:56.897; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 23e6860b-f474-487f-9c16-5ef392744b07; user-c3c6d258; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:23:08.907; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:23:08.957; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 50; ;  
2024-12-07 17:24:48.908; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:24:48.970; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 62; ;  
2024-12-07 17:24:53.985; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 1f50202b-28bd-48e2-a737-382349fb3e6c; user-73668bed; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:26:35.368; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:26:35.457; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 89; ;  
2024-12-07 17:27:06.598; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:27:07.727; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 1131; ;  
2024-12-07 17:27:49.745; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 8547b6d5-28a1-4c70-8b3f-cd5efe47546e; user-0b6d896a; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:28:46.589; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:28:46.719; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 130; ;  
2024-12-07 17:30:19.458; TRACE; INFO; http://localhost:8000/quitstart/dummy2; GET; dada3b58-2092-4a7c-a881-f25ae73d034b; user-b843c2cb; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:30:26.588; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:30:26.676; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 88; ;  
2024-12-07 17:32:42.052; TRACE; INFO; http://localhost:8000/quitstart/dummy2; GET; 356a70d0-d3a7-4e73-8767-087eabd26297; user-a3048b95; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:33:43.434; TRACE; INFO; http://localhost:8000/quitstart/dummy2; GET; c7bfb957-ba9f-4667-bc11-b3fbe43224e1; user-e6aa2fc2; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:48:36.820; TRACE; INFO; http://localhost:8000/quitstart/dummy2; GET; 01ae4443-2027-4a09-bbd7-10ea41945bf0; user-7bd43a6a; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:43.055; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:43.857; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:44.630; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:44.673; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:44.740; TRACE; INFO; SQL; SELECT * FROM item WHERE id = ?; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 7; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:44.775; SLOW; INFO; SQL; SELECT * FROM item WHERE id = ?; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 7; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:44.812; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 139; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:44.847; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 217; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:44.879; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 1024; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:44.917; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 1861; ;  
2024-12-09 09:22:44.959; SLOW; INFO; http://localhost:8000/quitstart/item?id=1; GET; 6f5db1e2-cbcc-430a-9256-e2dfbd15c7de; user-422c5b2b; 0:0:0:0:0:0:0:1; PC; 1861; ;  
2024-12-09 09:22:51.906; TRACE; INFO; http://localhost:8000/quitstart/item?id=; GET; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:51.953; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:51.997; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:52.027; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:52.084; TRACE; INFO; SQL; SELECT * FROM item WHERE id = ?; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 6; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:52.142; SLOW; INFO; SQL; SELECT * FROM item WHERE id = ?; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 6; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:52.187; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 160; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:52.230; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 233; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:52.268; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 315; SELECT * FROM item WHERE id = ?;  
2024-12-09 09:22:52.315; ERROR; ERROR; com.example.neobns.controller.QuickController; getItem; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; NullPointerException : 500; SELECT * FROM item WHERE id = ?; /item 
2024-12-09 09:22:52.347; TRACE; INFO; http://localhost:8000/quitstart/item?id=; GET; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 441; ;  
2024-12-09 09:22:52.395; SLOW; INFO; http://localhost:8000/quitstart/item?id=; GET; c04cba66-c8e9-42d3-8e11-2955d661a696; user-6032ec4c; 0:0:0:0:0:0:0:1; PC; 441; ;  
2024-12-09 09:22:58.341; TRACE; INFO; http://localhost:8000/quitstart/transfer; POST; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:58.379; TRACE; INFO; com.example.neobns.controller.TransferController; transfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:58.411; TRACE; INFO; com.example.neobns.service.TransferService; initiateTransfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:58.441; TRACE; INFO; http://localhost:8090/transfer/ex; POST; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 09:22:58.488; TRACE; INFO; com.example.neobns.controller.TransferController; transfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; ; ;  
2024-12-09 09:22:58.565; TRACE; INFO; com.example.neobns.service.TransferService; insertTransferDetail; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; ; ;  
2024-12-09 09:22:58.589; TRACE; INFO; com.example.neobns.mapper.TransferMapper; insertTransferDetails; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; ; ;  
2024-12-09 09:22:58.627; TRACE; INFO; com.example.neobns.mapper.TransferMapper; insertTransferDetails; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; 38; ;  
2024-12-09 09:22:58.665; TRACE; INFO; com.example.neobns.service.TransferService; insertTransferDetail; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; 100; ;  
2024-12-09 09:22:58.694; TRACE; INFO; com.example.neobns.controller.TransferController; transfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; 207; ;  
2024-12-09 09:22:58.723; ERROR; ERROR; com.example.neobns.logging.common.LoggingAspect; logExecution; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 127.0.0.1; PC; MyBatisSystemException : 500; ; /transfer/ex 
2024-12-09 09:22:58.803; TRACE; INFO; http://localhost:8090/transfer/ex; POST; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; 362; ;  
2024-12-09 09:22:58.832; SLOW; INFO; http://localhost:8090/transfer/ex; POST; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; 362; ;  
2024-12-09 09:22:58.867; TRACE; INFO; com.example.neobns.service.TransferService; initiateTransfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; 456; ;  
2024-12-09 09:22:58.894; TRACE; INFO; com.example.neobns.controller.TransferController; transfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; 515; ;  
2024-12-09 09:22:58.922; ERROR; ERROR; com.example.neobns.service.TransferService; initiateTransfer; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; InternalServerError : 500; ; /transfer 
2024-12-09 09:22:58.955; TRACE; INFO; http://localhost:8000/quitstart/transfer; POST; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; 614; ;  
2024-12-09 09:22:58.983; SLOW; INFO; http://localhost:8000/quitstart/transfer; POST; 4adf414c-75c6-4737-bd80-69758871d830; user-76ac193d; 0:0:0:0:0:0:0:1; PC; 614; ;  
2024-12-09 10:25:04.456; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; 5ee8c817-c42e-4d3e-aa84-430a59a64322; user-350ac7b1; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:25:28.668; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:25:28.716; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:25:29.241; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:25:29.279; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:25:29.335; TRACE; INFO; SQL; SELECT * FROM item WHERE id = ?; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 4; SELECT * FROM item WHERE id = ?;  
2024-12-09 10:25:29.367; SLOW; INFO; SQL; SELECT * FROM item WHERE id = ?; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 4; SELECT * FROM item WHERE id = ?;  
2024-12-09 10:25:29.402; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 123; SELECT * FROM item WHERE id = ?;  
2024-12-09 10:25:29.432; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 191; SELECT * FROM item WHERE id = ?;  
2024-12-09 10:25:29.461; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 745; SELECT * FROM item WHERE id = ?;  
2024-12-09 10:25:29.496; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 828; ;  
2024-12-09 10:25:29.523; SLOW; INFO; http://localhost:8000/quitstart/item?id=1; GET; fd2f3dac-a9fc-4f96-8c7a-b161a4184847; user-3a0947a3; 0:0:0:0:0:0:0:1; PC; 828; ;  
2024-12-09 10:57:52.651; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; f291f09e-59c0-4c32-b972-0fa1826948f7; user-58c34bf6; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:57:53.686; TRACE; INFO; com.example.neobns.controller.QuickController; getItem; f291f09e-59c0-4c32-b972-0fa1826948f7; user-58c34bf6; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:57:54.175; TRACE; INFO; com.example.neobns.service.QuickService; getItemById; f291f09e-59c0-4c32-b972-0fa1826948f7; user-58c34bf6; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:57:54.210; TRACE; INFO; com.example.neobns.mapper.QuickMapper; findById; f291f09e-59c0-4c32-b972-0fa1826948f7; user-58c34bf6; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-09 10:57:54.264; TRACE; INFO; SQL; SELECT * FROM item WHERE id = ?; f291f09e-59c0-4c32-b972-0fa1826948f7; user-58c34bf6; 0:0:0:0:0:0:0:1; PC; 5; SELECT * FROM item WHERE id = ?;  
